,id,score_normalized,reviewed_at,vintage_id
485,2506216,90,2012-03-01T00:00:00Z,1352467
486,2539528,90,2010-06-01T00:00:00Z,1352467
487,2763369,91,2015-10-01T00:00:00Z,1352467
488,3169739,95,2012-11-12T00:00:00Z,1352467
489,1374416,94,2011-05-15T00:00:00Z,93643
490,1712606,93,2007-04-30T00:00:00Z,93643
491,2498585,88,2009-03-01T00:00:00Z,93643
492,2545924,90,2016-07-01T00:00:00Z,93643
493,2545925,90,2008-04-01T00:00:00Z,93643
494,2545926,90,2007-03-01T00:00:00Z,93643
495,2770435,90,2009-12-01T00:00:00Z,93643
496,2839568,88,2007-06-01T00:00:00Z,93643
497,235912,95,2006-04-24T00:00:00Z,101680
498,2544926,96,2017-03-01T00:00:00Z,101680
499,2544927,91,2015-06-01T00:00:00Z,101680
500,2544928,95,2009-05-01T00:00:00Z,101680
501,2544929,95,2008-11-01T00:00:00Z,101680
502,2544930,95,2008-05-01T00:00:00Z,101680
503,2544931,96,2008-05-01T00:00:00Z,101680
504,2544932,96,2008-04-01T00:00:00Z,101680
505,2544933,95,2007-01-01T00:00:00Z,101680
506,2544934,94,2006-04-01T00:00:00Z,101680
507,2771103,96,2008-10-01T00:00:00Z,101680
508,2829883,93,2006-06-01T00:00:00Z,101680
509,2838890,95,2008-03-01T00:00:00Z,101680
510,3216769,18,2018-11-18T00:00:00Z,101680
511,3216976,100,2018-11-19T00:00:00Z,101680
512,3219840,96,2018-11-26T00:00:00Z,101680
513,228291,95,2013-10-31T00:00:00Z,1963447
